all_75,all_55,all_35,all_43,all_51,all_47,all_67,original
1.1564120054245,1.16782200336456,1.13817250728607,1.12692010402679,1.16886723041534,1.2025887966156,1.160649061203,1.2728
1.16148602962494,1.17260074615479,1.14158451557159,1.13274645805359,1.17687559127808,1.21016705036163,1.1638571023941,1.2849
1.15930044651031,1.1761509180069,1.14439916610718,1.13794958591461,1.18287765979767,1.2157598733902,1.16263115406036,1.2931
1.16356825828552,1.18119060993195,1.14926397800446,1.14400339126587,1.18823099136353,1.2208046913147,1.16677069664001,1.2999
1.17093300819397,1.18646788597107,1.15431082248688,1.15013861656189,1.19416427612305,1.2255163192749,1.17326033115387,1.3065
1.1660623550415,1.18487918376923,1.15218019485474,1.14959037303925,1.19455575942993,1.2263206243515,1.16827976703644,1.3139
1.16296005249023,1.18644416332245,1.15418803691864,1.15308487415314,1.19725871086121,1.22854804992676,1.16716992855072,1.3212
1.15698170661926,1.18205881118774,1.14880132675171,1.15096700191498,1.19799149036407,1.23002505302429,1.16095662117004,1.3197
1.14942395687103,1.17747092247009,1.14376127719879,1.14818263053894,1.19883942604065,1.23167395591736,1.15363466739655,1.2385
1.15292370319366,1.18085849285126,1.14858853816986,1.15339636802673,1.20306491851807,1.23519742488861,1.16052258014679,1.2199
1.16109669208527,1.189817070961,1.16059255599976,1.16247653961182,1.20542073249817,1.23502504825592,1.17215800285339,1.2036
1.15195655822754,1.18264639377594,1.15392029285431,1.15431797504425,1.19800806045532,1.2286365032196,1.16542160511017,1.1867
1.13751947879791,1.16703724861145,1.13848757743835,1.13567650318146,1.18078303337097,1.21486139297485,1.14951264858246,1.1646
1.12223243713379,1.1475043296814,1.12094593048096,1.11633050441742,1.15733182430267,1.19442343711853,1.14156019687653,1.1583
1.12323760986328,1.14706015586853,1.12501072883606,1.11642289161682,1.15154504776001,1.18706142902374,1.14441585540771,1.1523
1.13084805011749,1.15846288204193,1.14025330543518,1.1265367269516,1.15442037582397,1.18716204166412,1.16159200668335,1.1503
1.12097370624542,1.15667736530304,1.13964641094208,1.12380266189575,1.15084946155548,1.18287742137909,1.15059924125671,1.1485
1.11794853210449,1.14554452896118,1.12794649600983,1.11085975170135,1.14014840126038,1.17420387268066,1.14389789104462,1.1474
1.11573338508606,1.13789200782776,1.12208414077759,1.10326385498047,1.13007521629333,1.16415977478027,1.14267098903656,1.1439
1.10685992240906,1.13088941574097,1.11407685279846,1.09773004055023,1.12498354911804,1.15950989723206,1.13550508022308,1.1224
1.10379028320312,1.12716567516327,1.10739207267761,1.09441995620728,1.12631297111511,1.16214275360107,1.12871873378754,1.1296
1.09456825256348,1.12043929100037,1.09698188304901,1.08808958530426,1.12526881694794,1.16297101974487,1.11452281475067,1.1645
1.09570097923279,1.11955630779266,1.09347820281982,1.08846938610077,1.1296489238739,1.16801619529724,1.11205422878265,1.195
1.10111665725708,1.12045240402222,1.0917466878891,1.08891320228577,1.13541460037231,1.17407214641571,1.11118519306183,1.2247
