s1,s2,s3,s4,s5,i6,i7,i8,original
0.853561162948608,0.915484189987183,0.913846969604492,0.920757234096527,0.908616423606873,0.835234344005585,0.84302020072937,0.930902123451233,0.8679
0.837746620178223,0.897970497608185,0.896916627883911,0.907046258449554,0.893608450889587,0.867927670478821,0.912503898143768,0.913717150688171,0.86417
0.832096338272095,0.893068194389343,0.891691565513611,0.90338397026062,0.889718055725098,0.887049853801727,0.943579792976379,0.908873081207275,0.86915
0.83099639415741,0.891314566135406,0.889201521873474,0.902174353599548,0.888482093811035,0.897269129753113,0.953627705574036,0.906737804412842,0.87163
0.83133065700531,0.894443571567535,0.892295479774475,0.903999805450439,0.890430092811584,0.900447845458984,0.951969385147095,0.910996079444885,0.88158
0.833568811416626,0.897074341773987,0.894824504852295,0.906281590461731,0.893375039100647,0.900076568126678,0.945558071136475,0.913894534111023,0.89837
0.833595454692841,0.898091614246368,0.896083235740662,0.909022390842438,0.894731640815735,0.900140404701233,0.938199579715729,0.915152907371521,0.90583
0.828408002853394,0.895168721675873,0.893350601196289,0.913560211658478,0.89080286026001,0.915083944797516,0.936250329017639,0.916681051254272,0.91391
0.827006280422211,0.892383694648743,0.891396403312683,0.927414119243622,0.890271186828613,0.946280181407928,0.944490909576416,0.918024182319641,0.91515
0.835417151451111,0.900276720523834,0.900163292884827,0.949870586395264,0.901741862297058,0.983554482460022,0.961785554885864,0.925198793411255,0.90583
0.873044848442078,0.934790849685669,0.935385525226593,0.98117733001709,0.940983772277832,0.998969852924347,0.975776672363281,0.951041698455811,0.89712
0.902317702770233,0.955829083919525,0.957588315010071,0.996802568435669,0.969241857528687,1.00279402732849,0.985581815242767,0.960171580314636,0.90956
0.90845912694931,0.950981736183167,0.954513788223267,0.999016225337982,0.968642115592957,1.02140295505524,0.999654293060303,0.955370783805847,0.91329
0.912076532840729,0.953821539878845,0.956891179084778,1.00075769424438,0.969121694564819,1.02770495414734,1.01061236858368,0.96415388584137,0.92261
0.920562028884888,0.967279493808746,0.969804048538208,1.00520253181458,0.980459570884705,1.0154275894165,1.01240515708923,0.97329306602478,0.92945
0.942766606807709,0.986280918121338,0.989064574241638,1.00843262672424,0.999819874763489,0.991455554962158,1.0038024187088,0.984234094619751,0.93194
0.943911910057068,0.987694203853607,0.989983797073364,0.99630081653595,0.999688744544983,0.969463467597961,0.991349637508392,0.983922481536865,0.93194
0.932508528232574,0.980742335319519,0.981795847415924,0.978699266910553,0.987745881080627,0.950960993766785,0.977517783641815,0.980195283889771,0.92883
0.91791158914566,0.96679300069809,0.967344284057617,0.963153421878815,0.97224497795105,0.935354828834534,0.965007781982422,0.970159769058228,0.92883
0.906393826007843,0.951474785804749,0.952611088752747,0.951148092746735,0.959923982620239,0.922027230262756,0.953981995582581,0.954574227333069,0.92759
0.893070220947266,0.936782538890839,0.938523411750793,0.938169300556183,0.947220206260681,0.911547541618347,0.943606913089752,0.941045641899109,0.92075
0.875916719436646,0.918607234954834,0.920844674110413,0.923337399959564,0.931132316589355,0.902170181274414,0.934334814548492,0.924567699432373,0.90894
0.859458565711975,0.899545669555664,0.901599645614624,0.910163700580597,0.913991332054138,0.89423006772995,0.927087903022766,0.905332326889038,0.8965
0.842843115329742,0.882579147815704,0.884638428688049,0.896696150302887,0.896377325057983,0.888641595840454,0.920820534229279,0.890082597732544,0.88593
