agg_small_1,agg_small_de_2,agg_all_3,agg_all_de_4,original
0.809474527835846,0.773480534553528,0.769444465637207,0.807288765907288,0.83412
0.807717502117157,0.772647798061371,0.773895084857941,0.800447285175323,0.82921
0.807897388935089,0.774762511253357,0.79981130361557,0.820852279663086,0.83081
0.811095654964447,0.780991852283478,0.800841331481934,0.816236019134521,0.83258
0.811164200305939,0.794454634189606,0.802691161632538,0.826183617115021,0.8371
0.816272616386414,0.812999904155731,0.809574246406555,0.837759137153625,0.85419
0.825562000274658,0.843405187129974,0.82808780670166,0.868270993232727,0.86864
0.87475597858429,0.888833820819855,0.865683376789093,0.888099849224091,0.88772
0.936553537845612,0.922912418842316,0.911968171596527,0.906136214733124,0.91428
0.982227027416229,0.93772965669632,0.932348728179932,0.918938159942627,0.9451
1.00813329219818,0.95647269487381,0.959667861461639,0.945046961307526,0.92869
1.01416671276093,0.963258326053619,0.976766467094421,0.960751175880432,0.91971
0.996677041053772,0.940260767936707,0.965314924716949,0.942011296749115,0.91262
0.96263974905014,0.919243693351746,0.932580292224884,0.915023326873779,0.89462
0.912636458873749,0.891439735889435,0.903042912483215,0.897448480129242,0.89244
0.860156238079071,0.86453765630722,0.874711394309998,0.885129511356354,0.88914
0.835052907466888,0.853793263435364,0.871318221092224,0.892345309257507,0.88885
0.836357176303864,0.86046826839447,0.875255882740021,0.897064626216888,0.88313
0.837519586086273,0.86226499080658,0.871338307857513,0.904009759426117,0.87461
0.837863028049469,0.844686508178711,0.867536902427673,0.895661056041718,0.86991
0.839328706264496,0.83140242099762,0.866773962974548,0.88282185792923,0.85482
0.83434122800827,0.824000179767609,0.868682861328125,0.86991161108017,0.84683
0.833748638629913,0.810781359672546,0.873843789100647,0.867287933826447,0.84057
0.833466231822968,0.809044182300568,0.880415260791779,0.879751145839691,0.84064
