all_deseason_40,all_deseason_44,all_deseason_80,all_deseason_76,all_deseason_72,all_deseason_68,all_deseason_32,original
0.925703108310699,0.903142273426056,0.905616343021393,0.898532390594482,0.898718297481537,0.898547053337097,0.954191505908966,0.94748
0.91757333278656,0.89434689283371,0.899464786052704,0.892435967922211,0.892399191856384,0.892482399940491,0.947636306285858,0.94686
0.912054538726807,0.888333916664124,0.892242670059204,0.885759592056274,0.885672152042389,0.885708332061768,0.943378508090973,0.92386
0.906829535961151,0.882799744606018,0.881707072257996,0.875384569168091,0.875315606594086,0.875297605991364,0.938020408153534,0.9021
0.905149698257446,0.881815612316132,0.880086421966553,0.874364733695984,0.874405384063721,0.874356210231781,0.93470162153244,0.88718
0.902616739273071,0.878157615661621,0.876030683517456,0.870047032833099,0.870068311691284,0.869967460632324,0.933066427707672,0.88034
0.921959638595581,0.897935032844543,0.899379849433899,0.891851544380188,0.89196902513504,0.891902565956116,0.951482176780701,0.91826
0.947836756706238,0.923152148723602,0.924877166748047,0.916842758655548,0.916627287864685,0.916565597057343,0.977680385112762,1.009
0.988304555416107,0.963218688964844,0.964646995067596,0.954023599624634,0.953583300113678,0.95344477891922,1.01761031150818,1.083
1.03608417510986,1.0096629858017,1.0118225812912,0.998657166957855,0.998194813728333,0.997869551181793,1.06493711471558,1.1707
1.11262452602386,1.09241890907288,1.09540712833405,1.08535802364349,1.08523237705231,1.08529591560364,1.13067960739136,1.1781
1.15851318836212,1.14177882671356,1.14233732223511,1.13297283649445,1.13326954841614,1.13264954090118,1.16990745067596,1.1788
1.21475327014923,1.20824527740479,1.20772349834442,1.20411765575409,1.20489633083344,1.20451962947845,1.21371901035309,1.1812
1.19279217720032,1.18624258041382,1.19002819061279,1.18519163131714,1.18641018867493,1.18568539619446,1.19367671012878,1.18
1.17468285560608,1.16968929767609,1.16897821426392,1.16511714458466,1.16626155376434,1.16558802127838,1.17515456676483,1.1707
1.15412044525146,1.15096521377563,1.15043091773987,1.14592039585114,1.1466349363327,1.14619052410126,1.15440261363983,1.1613
1.12324213981628,1.12044739723206,1.12636744976044,1.12285172939301,1.1239287853241,1.12371623516083,1.12767255306244,1.1446
1.10537052154541,1.10136997699738,1.10983884334564,1.10594916343689,1.10732269287109,1.10696768760681,1.11250483989716,1.1328
1.08629643917084,1.07998716831207,1.0872323513031,1.08312046527863,1.08429229259491,1.08416569232941,1.09607625007629,1.1073
1.06084275245667,1.05200457572937,1.05783092975616,1.05403316020966,1.05482411384583,1.05493497848511,1.07368457317352,1.0724
1.02563107013702,1.01325464248657,1.01724219322205,1.01328325271606,1.01417291164398,1.01386487483978,1.04324841499329,1.0327
0.983705699443817,0.966873347759247,0.96932178735733,0.964856147766113,0.965425193309784,0.965518414974213,1.00673460960388,0.99349
0.949749290943146,0.929398417472839,0.930638551712036,0.926443338394165,0.926715493202209,0.926881492137909,0.977218866348267,0.9624
0.924892604351044,0.902422904968262,0.899778664112091,0.895450711250305,0.89556485414505,0.895711362361908,0.954896986484528,0.92759
